structure_name,bandgap_qwen3_32B,bandgap_deepseek_chat,bandgap_gemini_2_5_pro,bandgap_llama3_70B,bandgap_o3,bandgap_o4_mini,bandgap_qwen3_4B,bandgap_qwen3_8B,bandgap_qwen3_14B,bandgap_orig,bulkmodulus_qwen3_32B,bulkmodulus_deepseek_chat,bulkmodulus_gemini_2_5_pro,bulkmodulus_llama3_70B,bulkmodulus_o3,bulkmodulus_o4_mini,bulkmodulus_qwen3_4B,bulkmodulus_qwen3_8B,bulkmodulus_qwen3_14B,bulkmodulus_orig
mp-160_sg_166_formula_B,0.0,LLM fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4690000000000003,Structure same,DFT Unreasonable,237.40416079803248,Structure same,168.55135512711206,251.00730087573862,Structure same,LLM fail,Structure same,218.22144761223686
mp-239_sg_113_formula_BaS3,0.0,0.024599999999999955,1.5681000000000003,1.4583,0.8724000000000003,1.5690999999999997,1.1616999999999997,0.0,LLM fail,1.3269000000000002,45.14300018862396,71.42075495248608,51.237228992598546,45.68890474952198,45.7482898036308,LLM fail,35.17544259581384,45.14301371496749,42.81698239805347,39.908112218926206
mp-288_sg_131_formula_PtS,0.3529,0.3529,0.0,0.49270000000000014,0.054799999999999294,LLM fail,0.3529,DFT fail,0.4759000000000002,0.35519999999999996,31.664662157666676,120.20870683779104,Structure same,Structure same,115.89302983997617,LLM fail,Structure same,LLM fail,Structure same,147.59307275323917
mp-306_sg_152_formula_B2O3,6.2643,LLM fail,5.1874,6.2642,0.9475999999999996,LLM fail,3.8094,6.2642,3.8094,6.4048,33.749504069908056,DFT fail,23.20654174691755,Structure same,DFT fail,40.46231217875726,Structure same,Structure same,40.860568343749364,44.19602241522598
mp-361_sg_224_formula_Cu2O,0.0,0.0,0.0,0.5614999999999997,0.5599999999999996,LLM fail,0.0,0.0,0.4942000000000002,0.5257000000000005,67.62333130941985,LLM fail,Structure same,Structure same,Structure same,Structure same,DFT fail,Structure same,Structure same,133.22199984363775
mp-468_sg_167_formula_AlF3,7.3523,LLM fail,4.002,0.0,6.718299999999999,7.3523,Structure same,6.5546,7.3523,7.999099999999999,DFT fail,7.287184062311363,DFT Unreasonable,Structure same,31.010352256454475,Structure same,123.05366812377835,Structure same,Structure same,39.69184954326958
mp-470_sg_136_formula_GeO2,1.4575000000000014,4.4848,1.1709000000000005,2.8952999999999998,1.3422,LLM fail,0.0,1.4575000000000014,2.8952999999999998,1.6876000000000007,185.08967160619278,186.0931788679564,212.53053091148462,Structure same,Structure same,185.3396409132372,Structure same,185.08895540585047,Structure same,234.9609806168008
mp-471_sg_98_formula_CdAs2,0.0,0.29499999999999993,0.0,0.12170000000000014,0.30549999999999944,LLM fail,0.0024000000000001798,0.0,0.0,0.18500000000000005,51.42505030172062,51.35719331199123,51.666636654419094,LLM fail,DFT Unreasonable,DFT Unreasonable,DFT fail,51.42505030172062,79.76216269745431,44.51979250551543
mp-539_sg_9_formula_Ga2S3,0.8050999999999999,0.7069999999999999,2.9497999999999998,1.3721999999999999,2.9497999999999998,2.5031999999999996,1.7269999999999999,1.6621000000000001,1.8998000000000004,1.7621999999999995,185.13778875978943,30.64462760605876,34.5236737188066,Structure same,DFT Unreasonable,33.69750871048627,Structure same,Structure same,Structure same,36.38433748497957
mp-661_sg_186_formula_AlN,0.0,DFT fail,5.432799999999999,2.5727,5.441,LLM fail,0.0,3.9235000000000007,0.0,3.9852000000000007,Structure same,Structure same,387.97961198410974,Structure same,387.9796080404175,LLM fail,DFT Unreasonable,212.33380822424957,Structure same,202.21050656067905
